E_norm,J_crit_norm,J_norm,Lprime,P_left,P_right,acc_max,energy,f_armature,fitness,genom_0,genom_1,genom_2,genom_3,genom_4,id,j,mass,velocity,x1,x2,x3,x4,x5,x6,iteration_num
0.368540471,0.776923077,0.682535845,3.82E-07,100649096.1,115475274,472922.682,434786.9979,191085.4133,0.161554389,0.35,0.66,0.33,0.23,0.27,38,3549186392,0.104052122,1702.521655,3.85,7.26,8.89,15.84,11.04,12.96,2
0.550596919,0.776923077,0.579722946,3.82E-07,100283324.7,128179863.9,512824.5764,511250.7058,190751.7773,0.174582076,0.29,0.7,0.43,0.19,0.11,39,3014559319,0.071963018,1846.168475,3.19,7.7,9.11,20.64,9.12,5.28,2
0.281957697,0.776923077,0.62450766,3.79E-07,106256484.8,151783663.6,452713.7156,398422.2328,189710.4501,-0.414747636,0.77,0.72,0.33,0.23,0.21,40,3247439833,0.119051695,1629.769376,8.47,7.92,3.61,15.84,11.04,10.08,2
0.33255368,0.776923077,0.596781173,3.82E-07,106344453.3,128487682.3,464629.8948,419672.5457,190974.5327,-0.053626538,0.38,0.83,0.19,0.34,0.24,41,3103262101,0.111025065,1672.667621,4.18,9.13,6.69,9.12,16.32,11.52,2
0.561516443,0.776923077,0.600494182,3.82E-07,99119102.31,129745636.5,515119.6003,515836.906,190750.5139,0.164907956,0.29,0.66,0.43,0.19,0.11,31,3122569746,0.07030335,1854.430561,3.19,7.26,9.55,20.64,9.12,5.28,2
0.330425785,0.776923077,0.646285911,3.80E-07,100434717.8,129846363.5,464134.9034,418778.8295,190236.672,-0.067960447,0.53,0.72,0.43,0.16,0.24,42,3360686740,0.109873661,1670.885652,5.83,7.92,6.25,20.64,7.68,11.52,2
0.448648189,0.776923077,0.566157232,3.79E-07,99479483.34,139258387.4,490879.9101,468432.2395,189339.7626,-0.074796977,0.38,0.83,0.46,0.19,0.11,43,2944017604,0.085715037,1767.167676,4.18,9.13,6.69,22.08,9.12,5.28,2
0.332859727,0.776923077,0.559098253,3.78E-07,92297968.47,112392683.1,464701.0441,419801.0854,189022.2813,0.167623953,0.31,0.52,0.31,0.41,0.23,30,2907310914,0.106761043,1672.923759,3.41,5.72,10.87,14.88,19.68,11.04,2
0.339795405,0.776923077,0.57706753,3.78E-07,93055743.42,115851190.3,466310.5287,422714.0699,189067.0245,0.128446201,0.31,0.63,0.43,0.27,0.24,44,3000751157,0.105453047,1678.717903,3.41,6.93,9.66,20.64,12.96,11.52,2
0.455973873,0.776923077,0.642542314,3.83E-07,103163847.1,115118402.6,492489.3863,471509.0266,191449.8489,0.251231325,0.29,0.66,0.33,0.23,0.21,45,3341220032,0.088739035,1772.961791,3.19,7.26,9.55,15.84,11.04,10.08,2
0.566662821,0.776923077,0.64315588,3.84E-07,106916883.7,145226835.7,516197.7088,517998.385,191974.6806,-0.043278538,0.38,0.83,0.43,0.11,0.11,46,3344410578,0.071901458,1858.311752,4.18,9.13,6.69,20.64,5.28,5.28,2
0.263607806,0.776923077,0.597928199,3.82E-07,96192753.16,114934106.6,448313.7579,390715.2783,190773.7791,0.064486384,0.31,0.63,0.43,0.19,0.39,47,3109226635,0.125536303,1613.929528,3.41,6.93,9.66,20.64,9.12,18.72,2
0.212156155,0.776923077,0.514667097,3.77E-07,94275886.46,115490190.2,435739.7481,369105.585,188636.0622,0.005620285,0.29,0.7,0.26,0.42,0.33,48,2676268906,0.132909926,1568.663093,3.19,7.7,9.11,12.48,20.16,15.84,2
0.695235812,0.776923077,0.710390728,3.87E-07,112620654.9,123143951.5,542437.2681,571999.0411,193388.9026,0.374029138,0.31,0.52,0.26,0.19,0.11,35,3694031786,0.056518466,1952.774165,3.41,5.72,10.87,12.48,9.12,5.28,3
0.419519002,0.776923077,0.606503731,3.83E-07,96339095.54,116570033.2,484427.2322,456197.981,191521.2175,0.198585226,0.31,0.52,0.43,0.19,0.26,49,3153819404,0.09535601,1743.938036,3.41,5.72,10.87,20.64,9.12,12.48,3
0.337409902,0.776923077,0.567007773,3.78E-07,93313951.16,115341579.6,465757.5794,421712.1587,188841.0802,0.132855507,0.29,0.66,0.43,0.27,0.24,50,2948440421,0.105449291,1676.727286,3.19,7.26,9.55,20.64,12.96,11.52,3
0.328802763,0.776923077,0.628565497,3.82E-07,96588228.52,116235666.6,463757.0008,418097.1604,190950.5542,0.112327208,0.31,0.63,0.43,0.19,0.32,51,3268540586,0.111747001,1669.525203,3.41,6.93,9.66,20.64,9.12,15.36,3
0.447552257,0.776923077,0.576551564,3.80E-07,100107490.1,132993886.9,490638.6763,467971.9479,190116.2703,0.007526275,0.72,0.39,0.43,0.19,0.11,29,2998068135,0.087487329,1766.299235,7.92,4.29,7.79,20.64,9.12,5.28,3
0.638258124,0.776923077,0.602236739,3.84E-07,98486138.82,127712832,530969.1098,548068.4122,191986.798,0.268753697,0.29,0.45,0.43,0.19,0.11,52,3131631044,0.061578093,1911.488795,3.19,4.95,11.86,20.64,9.12,5.28,3
0.69506914,0.776923077,0.831929367,3.87E-07,120944171.1,124158353.1,542404.0749,571929.0387,193602.2222,-5.148615419,0.29,0.7,0.19,0.19,0.11,53,4326032709,0.056933569,1952.65467,3.19,7.7,9.11,9.12,9.12,5.28,3
0.455973873,0.776923077,0.642542314,3.83E-07,103163847.1,115118402.6,492489.3863,471509.0266,191449.8489,0.251231325,0.29,0.66,0.33,0.23,0.21,45,3341220032,0.088739035,1772.961791,3.19,7.26,9.55,15.84,11.04,10.08,3
0.418618468,0.776923077,0.68057501,3.84E-07,100261149.7,111105983.1,484226.3762,455819.7566,191851.9334,0.270277543,0.31,0.52,0.33,0.23,0.27,32,3538990051,0.09620298,1743.214954,3.41,5.72,10.87,15.84,11.04,12.96,3
0.622671944,0.776923077,0.612495002,3.83E-07,98170721.53,127054252.3,527788.6043,541522.2163,191713.2154,0.26194858,0.29,0.49,0.43,0.19,0.11,54,3184974011,0.063238641,1900.038976,3.19,5.39,11.42,20.64,9.12,5.28,3
